Dimension,Category,Model,N,N_households,mean_kwh,mean_bias,median_bias,MAE,RMSE,R2,sMAPE,MedAE,P10_bias,P90_bias
Heat Distribution,Unknown,DT,1982,22,34.510438950555,-0.7709105228859661,-1.1148728652751423,7.711457168914335,11.054482057514345,0.6580337840570397,24.330929758889503,5.478612359550576,-12.256343373493966,11.485593333333345
Heat Distribution,Unknown,ANN,1982,22,34.510438950555,2.314532378121696,0.7710842823100492,8.173548351807462,11.41746202853138,0.6352077893796282,25.705709789037584,5.865625235707273,-9.915880940874533,16.75454934196359
Heat Distribution,Unknown,ElasticNet,1982,22,34.510438950555,4.848322450440892,2.246546255098968,13.551660338903623,18.818300521606837,0.00901471901457973,43.15331008069379,9.573771198517571,-14.222104705893338,28.609640795489895
PV System,With PV,RF,33334,370,37.82231715365693,0.5519662493719668,-1.2261977774170258,8.6868839863335,13.047683566548553,0.6796638131125752,25.790746217962102,5.80468889862917,-12.071167084832563,14.758668465584417
PV System,With PV,XGBoost,33334,370,37.82231715365693,-0.7771974340710269,-2.1748704528808585,8.83777836643125,12.843583107593323,0.6896072483528408,26.440795563481316,6.17108882904053,-13.598680541992188,12.976480232238774
PV System,With PV,LightGBM,33334,370,37.82231715365693,-0.6655516183355672,-1.913663015611835,8.857541439463786,12.981900519113347,0.6828857749176644,26.431371535653174,6.14541799264809,-13.570425258700357,13.15865131530787
PV System,With PV,DT,33334,370,37.82231715365693,0.8129175832795015,-0.4323380281690241,10.843414052615577,16.204925331239224,0.5058790827898962,31.50899309115313,7.409386456908343,-14.99844093406594,18.322219066937137
PV System,With PV,ANN,33334,370,37.82231715365693,3.1241225172336065,0.8199134078455401,11.594677046258022,16.561869332524108,0.48387145573880885,34.492966020496944,8.198693251106873,-13.917558824978016,22.831560017928343
PV System,With PV,ElasticNet,33334,370,37.82231715365693,9.481946850385276,5.819565956541645,15.048976482441,21.9403623770963,0.09421158235889393,42.512215340508234,10.131975434106938,-10.39782136477199,33.68794692019013
PV System,Without PV,RF,41034,456,40.13113174440708,0.013043311720825814,-0.9252749944413523,6.482287527243504,10.1508449150461,0.7732812906716373,17.607300345226133,4.152903522005779,-9.173775652898426,9.944629024930574
PV System,Without PV,XGBoost,41034,456,40.13113174440708,-0.9445550476970185,-1.6980336761474621,6.987287892187678,10.455258080529934,0.7594792827400186,19.08375968056508,4.741380119323731,-10.875409484863283,9.604771102905277
PV System,Without PV,LightGBM,41034,456,40.13113174440708,-0.7661297672543911,-1.5671422754306876,6.961038886916173,10.44968044317243,0.7597358387213262,19.01656823361467,4.712951932262573,-10.59987611550237,9.661090873057057
PV System,Without PV,DT,41034,456,40.13113174440708,0.22996154656355297,-0.5469548872180496,8.39926848962514,12.82539674622519,0.6380699919262289,22.306956086488476,5.429602272727278,-12.125740170940182,13.30357272727281
PV System,Without PV,ANN,41034,456,40.13113174440708,3.3789547075480395,1.6950689106447534,10.190023434458409,14.702596887290595,0.5243679896622238,27.303761546930776,7.001318578501245,-11.435294213036928,20.199876344141284
